,AM15_G_wav,wavelength,Energy,N_Photons,Jsc_int
1738,0.0,2685.0,0.4618249534450652,0.0,0.06676516682009552
1739,1.0226e-29,2690.0,0.46096654275092935,8.090945492732181e-11,0.06676516682009552
1740,7.1284e-33,2695.0,0.4601113172541744,5.6715924683740077e-14,0.06676516682009552
1741,0.0,2700.0,0.45925925925925926,0.0,0.06676516682009552
1742,2.9315e-42,2705.0,0.4584103512014787,2.3584591254303588e-23,0.06676516682009552
1743,1.125e-35,2710.0,0.4575645756457565,9.101166133503512e-17,0.06676516682009552
1744,3.8557e-26,2715.0,0.4567219152854512,3.1365295554450733e-07,0.06676516682009552
1745,5.6052e-45,2720.0,0.45588235294117646,4.584948611862644e-26,0.06676516682009552
1746,7.2935e-22,2725.0,0.45504587155963305,0.005998907344631548,0.06676516682009552
1747,6.073400000000001e-19,2730.0,0.4542124542124542,5.022922452515284,0.06676516682009552
1748,5.4888e-21,2735.0,0.453382084095064,0.045644246841790775,0.06676516682009552
1749,2.3314e-27,2740.0,0.45255474452554745,1.9494186993366285e-08,0.06676516682009552
1750,1.3146e-23,2745.0,0.4517304189435337,0.00011052418505066743,0.06676516682009552
1751,1.6648e-28,2750.0,0.4509090909090909,1.4073327547801765e-09,0.06676516682009552
1752,6.726199999999999e-44,2755.0,0.4500907441016334,5.717040032234691e-25,0.06676516682009552
1753,0.0,2760.0,0.4492753623188406,0.0,0.06676516682009552
1754,2.6777e-27,2765.0,0.4484629294755877,2.300827039160563e-08,0.06676516682009552
1755,8.3791e-24,2770.0,0.44765342960288806,7.238912509767659e-05,0.06676516682009552
1756,3.999e-38,2775.0,0.44684684684684683,3.473577664283014e-19,0.06676516682009552
1757,4.8067e-34,2780.0,0.4460431654676259,4.1977643233936005e-15,0.06676516682009552
1758,3.8866e-27,2785.0,0.4452423698384201,3.412574112119741e-08,0.06676516682009552
1759,1.217e-16,2790.0,0.4444444444444444,1074.3352734375003,0.06676516682009552
